,Date,Open,High,Low,Close,Adj Close,Volume,news,sentiment_Analysis
0,2023-11-03,142.190002,143.770004,141.850006,143.0,143.0,9533100,"""jp-morgan-chase-stock-2000"" - Google News",0
1,2023-11-02,140.089996,141.479996,139.229996,141.419998,141.419998,10186200,Form 424B2 JPMORGAN CHASE & CO - StreetInsider.com,0
2,2023-11-01,139.25,140.529999,138.470001,138.940002,138.940002,9432000,"The Zacks Analyst Blog Highlights JPMorgan Chase, The Home Depot, Salesforce, Advanced Micro Devices and Intel - Yahoo Finance",0
3,2023-10-31,137.710007,139.240005,137.470001,139.059998,139.059998,9672500,"Zacks Market Edge Highlights: JPMorgan Chase, Lennar, NVIDIA ... - Nasdaq",0
4,2023-10-30,136.440002,138.039993,136.039993,137.419998,137.419998,9855500,"Dow Jones Futures Rise, Oil Prices Spike On U.S. Sanctions ... - Investor's Business Daily",0
5,2023-10-27,138.949997,139.100006,135.190002,135.690002,135.690002,17434700,JPMorgan Chase (JPM) Q3 2023 Earnings Call Transcript - The Motley Fool,1
6,2023-10-26,139.759995,141.669998,139.429993,140.759995,140.759995,9109400,"Stocks rebound to start week, Dow rallies 500 points for best day since June: Live updates - CNBC",0
7,2023-10-25,140.570007,141.179993,139.509995,140.399994,140.399994,8242600,EQS-News: JPMorgan ETFs (Ireland) ICAV: Dividend Declaration - Bloomberg,0
8,2023-10-24,141.190002,141.729996,140.360001,141.169998,141.169998,8881400,Dow Jones Slides 200 Points As Yields Top 5%; Tesla Stock Dives - Investor's Business Daily,0
9,2023-10-23,142.940002,143.679993,140.729996,141.0,141.0,10133400,GLD: 3 Solid Precious Metals ETFs to Diversify Your Investments - StockNews.com,0
10,2023-10-20,144.570007,145.139999,142.119995,142.949997,142.949997,13332000,ZimVie (ZIMV) Q3 2023 Earnings Call Transcript - The Motley Fool,0
11,2023-10-19,145.479996,147.020004,144.880005,145.289993,145.289993,11143600,Inside The Global 2000: JPMorgan Is Again The World's Largest ... - Forbes,0
12,2023-10-18,146.589996,147.479996,145.369995,145.910004,145.910004,9620300,Costco’s Most Popular Item Is… Gold Bars - Legacy Research Group,0
13,2023-10-17,147.570007,149.309998,146.789993,147.529999,147.529999,11482700,Freshworks (FRSH) Q3 2023 Earnings Call Transcript - The Motley Fool,0
14,2023-10-16,149.449997,149.520004,146.720001,147.850006,147.850006,12663500,"Letter to Shareholders from Jamie Dimon, Annual Report 2022 - JPMorgan Chase",0
15,2023-10-13,148.5,153.110001,147.839996,148.0,148.0,29427000,EMEA Morning Briefing : Stocks Seen Higher Ahead of BOE Rate ... - Marketscreener.com,0
16,2023-10-12,146.300003,146.960007,145.130005,145.809998,145.809998,10484400,Does Investing Affect Your Credit Score | Chase - Chase News & Stories,1
17,2023-10-11,146.509995,147.229996,145.020004,146.149994,146.149994,8698200,Hedge funds slow value exodus as AI hype drives up growth stocks - Reuters,0
18,2023-10-10,145.419998,146.770004,145.279999,145.649994,145.649994,11288800,Summer Brings in a New Wave of Optimism - JP Morgan,0
19,2023-10-09,143.660004,145.399994,143.5,144.770004,144.770004,6964900,JPMorgan: the bank that never lets a crisis go to waste - Financial Times,0
20,2023-10-06,142.910004,145.880005,142.139999,145.100006,145.100006,10269400,"JPMorgan, Other Banks Slide As Fitch Warns Of More Pain - Investor's Business Daily",0
21,2023-10-05,142.039993,143.100006,140.830002,142.899994,142.899994,8576200,Former J.P. Morgan Precious Metals Traders Sentenced to Prison - Department of Justice,1
22,2023-10-04,143.190002,143.470001,141.929993,143.350006,142.300003,8128700,A shift in market leadership - JP Morgan Private Bank,1
23,2023-10-03,143.199997,143.589996,142.350006,142.710007,141.664688,9431100,"Why we think now is a good time to invest, in 6 charts - JP Morgan Private Bank",0
24,2023-10-02,144.830002,145.619995,142.630005,143.770004,142.716919,9170600,JPMorgan Forms Bullish Pattern After First Republic Rescue Adds ... - Investor's Business Daily,0
25,2023-09-29,148.600006,148.759995,144.860001,145.020004,143.957764,11915700,"JPMorgan Chase Keeps Growing. How It Stacks Up, in 11 Charts. - Barron's",1
26,2023-09-28,146.279999,148.869995,146.009995,147.589996,146.508942,8868100,The Rasputin Effect: Global resilience to higher rates - JP Morgan Private Bank,0
27,2023-09-27,145.190002,146.089996,144.509995,145.779999,144.712189,6717800,"Dow Jones Futures Fall; Regulators Protect All SVB Deposits, But ... - Investor's Business Daily",0
28,2023-09-26,144.600006,145.839996,144.229996,144.929993,143.868423,7468400,"JPMorgan Stock, Wells Fargo Near Buy Points With Q2 Earnings ... - Investor's Business Daily",0
29,2023-09-25,145.350006,146.520004,143.699997,146.449997,145.377289,7044700,What markets are saying about when to expect a recession - CNN,0
30,2023-09-22,147.289993,147.509995,145.190002,145.729996,144.662552,7071700,Exclusive: JPMorgan to hire about 2000 engineers even as ... - Reuters,0
31,2023-09-21,147.580002,148.850006,146.630005,147.139999,146.062241,8052400,JPMorgan's Jamie Dimon makes a stunning prediction every worker ... - TheStreet,0
32,2023-09-20,149.649994,150.25,148.139999,148.300003,147.213745,7332000,Stocks muted as JPMorgan Chase takes over First Republic: Stock market news today - Yahoo Finance,0
33,2023-09-19,149.5,149.720001,147.210007,148.929993,147.839111,7943400,"YOLO Army Bets on Stocks at Fastest Pace Ever, JPMorgan Says - Bloomberg",0
34,2023-09-18,148.160004,149.139999,147.75,149.119995,148.027725,6512400,JPMorgan Says Stocks to Suffer $150 Billion Rebalancing Sales - Bloomberg,0
